low,up,y_test
2.4186906814575195,5.0,5.0
2.483351230621338,5.0,4.0
1.1985082626342773,4.122376441955566,3.0
2.7763211727142334,5.0,5.0
2.6942453384399414,5.0,3.0
3.042459726333618,5.0,4.0
3.0366342067718506,5.0,2.0
2.2763421535491943,4.9916417598724365,5.0
1.0,5.0,5.0
2.3893423080444336,5.0,5.0
1.2838788032531738,4.207746982574463,4.0
3.9648590087890625,5.0,5.0
1.7708537578582764,4.694721937179565,4.0
1.9990596771240234,5.0,3.0
3.8956170082092285,5.0,5.0
1.0883898735046387,4.601241588592529,2.0
2.6885647773742676,5.0,5.0
3.0196962356567383,5.0,5.0
2.8841333389282227,5.0,4.0
3.9575324058532715,5.0,4.0
1.0,5.0,4.0
3.7785282135009766,5.0,5.0
3.119767904281616,5.0,3.0
1.0,5.0,5.0
2.153223752975464,5.0,3.0
3.2270634174346924,5.0,5.0
2.1514530181884766,4.866752624511719,4.0
1.8941960334777832,4.609495639801025,5.0
2.8253211975097656,5.0,4.0
2.3909716606140137,4.753103733062744,4.0
2.1196982860565186,4.834997892379761,4.0
3.762022018432617,5.0,5.0
3.9919047355651855,5.0,5.0
3.960177421569824,5.0,4.0
2.8418126106262207,5.0,4.0
2.7619662284851074,4.756893634796143,2.0
3.622124671936035,5.0,5.0
1.974602222442627,4.898470401763916,2.0
2.7508482933044434,5.0,5.0
3.3032894134521484,5.0,3.0
3.5717062950134277,5.0,5.0
2.714200735092163,5.0,4.0
2.8105978965759277,5.0,4.0
2.180039882659912,4.895339488983154,4.0
2.2667737007141113,5.0,5.0
2.575875997543335,5.0,5.0
2.3692734241485596,5.0,2.0
3.739205837249756,5.0,5.0
3.1922595500946045,5.0,5.0
2.1551425457000732,4.870442152023315,3.0
2.857530117034912,5.0,5.0
3.105696678161621,5.0,4.0
3.857936382293701,5.0,4.0
4.1638641357421875,5.0,4.0
1.0,5.0,5.0
3.88608455657959,5.0,5.0
2.254699945449829,4.969999551773071,5.0
4.3755388259887695,5.0,4.0
2.5614423751831055,4.831299304962158,5.0
2.1394877433776855,5.0,5.0
1.0,5.0,5.0
2.457163095474243,5.0,5.0
3.2270638942718506,5.0,5.0
1.8634841442108154,4.578783750534058,3.0
1.0,5.0,5.0
3.2879676818847656,5.0,5.0
2.2313077449798584,4.946607351303101,4.0
1.8054368495941162,4.520736455917358,4.0
1.0,5.0,3.0
3.9080710411071777,5.0,4.0
1.0,5.0,4.0
2.8410606384277344,5.0,5.0
3.913142204284668,5.0,3.0
3.4776673316955566,5.0,2.0
1.0,5.0,3.0
1.0,5.0,5.0
