low,up,y_test
1.0,2.9400951862335205,1.0
1.1520626544952393,4.777714014053345,5.0
2.8938210010528564,5.0,4.0
2.2755374908447266,5.0,4.0
4.617062568664551,5.0,5.0
3.5633397102355957,5.0,5.0
1.0,4.289606094360352,2.0
3.7222537994384766,5.0,5.0
3.2363147735595703,5.0,5.0
3.337738037109375,5.0,5.0
3.44893217086792,5.0,2.0
3.175694227218628,5.0,5.0
1.0,3.4196149110794067,3.0
2.440708875656128,5.0,4.0
3.540658950805664,5.0,4.0
3.5190589427948,5.0,5.0
1.0,4.549671649932861,3.0
2.1672351360321045,5.0,1.0
3.817727565765381,5.0,5.0
1.0,2.6539188027381897,3.0
3.05043363571167,5.0,3.0
1.0,4.257102012634277,1.0
1.0,2.9784889221191406,2.0
2.692492723464966,5.0,4.0
3.3698394298553467,5.0,4.0
2.3888192176818848,5.0,4.0
1.3870937824249268,4.871795415878296,5.0
3.5045270919799805,5.0,1.0
3.39609432220459,5.0,4.0
1.0,2.7444674372673035,1.0
2.560680389404297,5.0,4.0
2.9585864543914795,5.0,3.0
1.0,4.3861541748046875,2.0
3.418951988220215,5.0,5.0
3.2758798599243164,5.0,3.0
3.208301544189453,5.0,5.0
3.92410945892334,5.0,5.0
3.0916600227355957,5.0,2.0
1.5716941356658936,5.0,5.0
1.0,3.8631396293640137,3.0
1.5949456691741943,5.0,5.0
3.666623592376709,5.0,5.0
1.7860846519470215,4.849050998687744,1.0
3.134845018386841,5.0,3.0
3.618229866027832,5.0,5.0
1.0,3.950139045715332,2.0
1.4933617115020752,5.0,2.0
1.984443187713623,5.0,1.0
2.9066853523254395,5.0,5.0
2.1719837188720703,4.973661422729492,3.0
1.0,2.3825711607933044,1.0
4.104696273803711,5.0,4.0
3.421138286590576,5.0,4.0
2.754502296447754,5.0,5.0
3.990238666534424,5.0,4.0
3.791726589202881,5.0,3.0
3.549485683441162,5.0,5.0
3.136993885040283,5.0,4.0
3.6356306076049805,5.0,5.0
2.849151134490967,5.0,4.0
2.0302746295928955,5.0,3.0
3.472141742706299,5.0,5.0
3.806358814239502,5.0,5.0
3.4472947120666504,5.0,5.0
1.339482069015503,4.824183702468872,3.0
1.0,4.257329940795898,3.0
2.890923500061035,5.0,4.0
2.5595455169677734,5.0,5.0
3.7038135528564453,5.0,4.0
2.457742691040039,5.0,4.0
2.6319305896759033,5.0,3.0
2.5633277893066406,5.0,5.0
3.774350166320801,5.0,5.0
1.0,3.4226505756378174,1.0
4.1754608154296875,5.0,5.0
1.0,3.137889862060547,2.0
1.0,3.404323101043701,3.0
3.25468111038208,5.0,3.0
3.463228702545166,5.0,5.0
4.255962133407593,5.0,4.0
2.673917293548584,5.0,5.0
1.0,3.6099650859832764,2.0
3.0688695907592773,5.0,2.0
3.7977752685546875,5.0,5.0
1.0,3.1719861030578613,2.0
3.5280394554138184,5.0,5.0
2.158604145050049,5.0,3.0
1.0,4.2351672649383545,2.0
2.981132745742798,5.0,4.0
2.046348810195923,5.0,5.0
3.1960349082946777,5.0,5.0
3.119494915008545,5.0,4.0
2.793013334274292,5.0,5.0
3.2824316024780273,5.0,3.0
2.2382912635803223,5.0,3.0
5.0,5.0,5.0
3.2817749977111816,5.0,4.0
2.6623430252075195,5.0,4.0
1.0,3.6880006790161133,1.0
1.8455228805541992,5.0,3.0
2.9881200790405273,5.0,5.0
3.0926694869995117,5.0,5.0
1.0463416576385498,4.671993017196655,3.0
2.424765110015869,5.0,3.0
1.4799437522888184,5.0,3.0
