low,up,y_test
1.0,4.482257843017578,2.0
1.2654838562011719,5.0,2.0
2.2822365760803223,5.0,5.0
1.0,5.0,1.0
1.0,4.236164569854736,5.0
1.0,2.6445178985595703,5.0
2.763091802597046,5.0,5.0
1.8553221225738525,5.0,1.0
1.0,2.761968970298767,1.0
1.0,4.4414660930633545,2.0
1.4405152797698975,5.0,5.0
2.4815516471862793,5.0,2.0
2.1607799530029297,5.0,2.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,5.0,5.0
1.2007551193237305,5.0,5.0
1.635709285736084,5.0,5.0
2.515204429626465,5.0,5.0
1.0,2.273076295852661,2.0
1.7276744842529297,5.0,1.0
1.0,4.051997065544128,2.0
1.157966136932373,5.0,5.0
2.5119805335998535,5.0,4.0
2.319633960723877,5.0,5.0
1.0,5.0,5.0
1.0,2.7996914386749268,1.0
2.829803943634033,5.0,5.0
1.0,4.1618640422821045,2.0
1.1497888565063477,5.0,4.0
1.0,2.1550021171569824,5.0
2.54372501373291,5.0,5.0
1.0,4.709402322769165,2.0
2.6976253986358643,5.0,5.0
1.8193557262420654,5.0,5.0
1.0,3.08229923248291,2.0
2.6271181106567383,5.0,5.0
1.0,3.3079607486724854,1.0
2.584318161010742,5.0,5.0
1.7602248191833496,5.0,5.0
2.341806411743164,5.0,5.0
1.0,5.0,2.0
1.0,3.6820068359375,1.0
1.0,3.761096954345703,2.0
1.0,5.0,1.0
1.0,3.7328072786331177,1.0
2.123159408569336,5.0,5.0
1.0,4.619124889373779,1.0
2.4258580207824707,5.0,4.0
1.0,2.381140112876892,2.0
2.423847198486328,5.0,5.0
1.9555823802947998,5.0,1.0
2.6516335010528564,5.0,5.0
1.0,5.0,2.0
1.3332293033599854,5.0,5.0
2.5389013290405273,5.0,5.0
1.0,5.0,5.0
2.1541175842285156,5.0,5.0
1.0,5.0,3.0
1.0,3.709553837776184,3.0
2.784825563430786,5.0,5.0
1.4002516269683838,5.0,1.0
2.4639010429382324,5.0,5.0
1.0,2.589603900909424,2.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,3.885683536529541,2.0
1.9719641208648682,5.0,5.0
1.0,3.062843084335327,1.0
2.5539145469665527,5.0,5.0
2.52927303314209,5.0,5.0
1.0,4.124725103378296,2.0
2.5602428913116455,5.0,5.0
1.0,5.0,5.0
2.5431008338928223,5.0,5.0
2.053382396697998,5.0,5.0
1.0,5.0,2.0
1.182422161102295,5.0,5.0
2.6971964836120605,5.0,5.0
2.616452217102051,5.0,5.0
2.563532829284668,5.0,5.0
1.8502600193023682,5.0,5.0
1.0,5.0,1.0
2.4472455978393555,5.0,5.0
2.1425838470458984,5.0,5.0
2.506650447845459,5.0,5.0
2.553184986114502,5.0,5.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.3443775177001953,5.0,5.0
1.0,3.920741319656372,1.0
1.0,5.0,2.0
1.0,5.0,1.0
2.435302734375,5.0,5.0
2.225121021270752,5.0,5.0
2.228353977203369,5.0,5.0
1.0,5.0,1.0
2.342217445373535,5.0,5.0
